name_of_city,state_code,state_name,population_total,0-6_population_total,literates_total,sex_ratio,child_sex_ratio,effective_literacy_rate_total,total_graduates,literacy_ratio,literacy_rate_ratio,graduates_ratio,lat,long
Abohar,3,Punjab,145238,15870,103319,890,848,79.86,16287,770,860,891,30.1452928,74.1993043
Achalpur,27,Maharashtra,112293,11810,92433,928,909,91.99,8863,873,939,682,21.257584,77.5086754
Adilabad,28,Andhra Pradesh,117388,13103,83955,982,947,80.51,10565,813,824,554,19.0809075,79.560344
Adityapur,20,Jharkhand,173988,23042,125985,902,910,83.46,19225,762,847,577,22.7834741,86.1576889
Adoni,28,Andhra Pradesh,166537,18406,101292,1013,968,68.38,11902,802,787,512,15.6322227,77.2728368
Agartala,16,Tripura,399688,33635,343633,1002,940,93.88,52711,968,961,744,23.831457,91.2867777
Agra,9,Uttar Pradesh,1574542,186516,880530,853,772,63.44,185813,747,865,751,27.1766701,78.0080745
Ahmadabad,24,Gujarat,5570585,589076,4464303,897,853,89.62,769858,814,902,768,23.022505,72.5713621
Ahmadnagar,27,Maharashtra,350905,36712,287468,952,859,91.49,51661,881,914,731,19.0952075,74.7495916
Aizawl,15,Mizoram,291822,35147,253588,1029,989,98.8,26832,1024,990,800,23.727107,92.7176389
Ajmer,8,Rajasthan,542580,59437,422913,946,884,87.53,77989,834,874,837,26.4498954,74.6399163
Akbarpur,9,Uttar Pradesh,111594,14037,75062,939,937,76.94,9745,778,828,676,26.4407468,82.5537514
Akola,27,Maharashtra,427146,46500,347687,958,899,91.34,49715,893,926,725,20.7059345,77.0219019
Alandur,33,Tamil Nadu,164162,14486,142415,997,975,95.15,45971,957,957,805,12.9974873,80.2006371
Alappuzha,32,Kerala,174164,15434,153269,1076,945,96.56,22263,1058,971,1248,9.4980667,76.3388484
Aligarh,9,Uttar Pradesh,872575,113658,533969,884,875,70.36,99341,757,854,775,27.8973944,78.0880129
Allahabad,9,Uttar Pradesh,1117094,102556,877590,858,876,86.5,233129,779,910,686,25.4358011,81.846311
Alwar,8,Rajasthan,315310,34576,243634,889,833,86.78,58764,756,843,664,27.5529907,76.6345735
Ambala,6,Haryana,196216,19645,155780,895,834,88.23,34943,832,922,962,30.3781788,76.7766974
Ambala Sadar,6,Haryana,104268,9646,83236,922,841,87.97,20618,915,983,928,30.3248708,76.8432663
Ambarnath,27,Maharashtra,254003,27465,201707,910,906,89.04,26596,812,892,841,19.1825167,73.1926023
Ambattur,33,Tamil Nadu,478134,45216,401253,982,960,92.69,97186,922,936,860,13.1143167,80.1480551
Ambikapur,22,Chhattisgarh,114575,12995,89590,920,887,88.2,20857,830,898,686,23.1354921,83.1817856
Ambur,33,Tamil Nadu,113856,12150,88309,1031,955,86.83,7813,943,906,539,12.7903613,78.7166084
Amravati,27,Maharashtra,646801,62497,543568,957,910,93.03,91996,910,946,787,20.9374238,77.7795513
Amreli,24,Gujarat,105980,9885,85975,921,835,89.47,11305,840,903,718,21.6031774,71.2220832
Amritsar,3,Punjab,1132761,109540,872527,879,824,85.27,140359,825,931,1027,31.6339793,74.8722642
Amroha,9,Uttar Pradesh,197135,26855,108772,918,946,63.88,13879,794,869,817,28.9043537,78.4673426
Anand,24,Gujarat,197351,19993,166211,928,881,93.71,29803,879,941,719,22.5645175,72.928871
Anantapur,28,Andhra Pradesh,262340,23630,195452,995,904,81.88,43700,853,849,595,14.6818877,77.6005911
Anantnag,1,Jammu & Kashmir,108505,18056,71408,937,874,78.95,12666,803,846,737,33.7311255,75.1487007
Arrah,10,Bihar,261099,34419,189080,874,875,83.41,35354,753,862,411,25.5560443,84.6603307
Asansol,19,West Bengal,564491,56014,431300,922,908,84.82,65625,822,890,631,23.6739452,86.9523954
Ashoknagar Kalyangarh,19,West Bengal,123906,8885,106337,981,947,92.45,11992,919,934,690,22.84039,88.6241351
Aurangabad,27,Maharashtra,1171330,151827,908725,919,859,89.13,159308,826,890,649,19.8761653,75.3433139
Avadi,33,Tamil Nadu,344701,33414,275881,969,965,88.63,51647,893,921,861,13.1067448,80.0969511
Azamgarh,9,Uttar Pradesh,110980,12629,85008,912,860,86.43,19911,824,897,703,26.0737044,83.1859458
Badlapur,27,Maharashtra,175516,17194,146259,914,890,92.38,25115,853,931,809,19.1667854,73.2367896
Bagaha,10,Bihar,113012,19070,56998,885,946,60.67,3744,640,732,358,27.1221959,84.0722375
Bagalkot,29,Karnataka,112068,12399,85860,972,915,86.15,14090,841,859,558,16.1725355,75.6557206
Bahadurgarh,6,Haryana,170426,20374,132108,858,784,88.04,22521,744,857,729,28.6924464,76.9239727
Baharampur,19,West Bengal,195363,13228,164445,945,962,90.29,32154,900,953,633,24.0988265,88.2679264
Bahraich,9,Uttar Pradesh,186241,22828,122602,890,895,75.03,20490,842,947,776,27.7525271,81.4278984
Baidyabati,19,West Bengal,121081,8154,100590,936,958,89.08,17224,890,952,670,22.795783,88.3190717
Baleshwar Town,21,Orissa,118202,11115,95084,960,955,88.79,23170,887,924,646,21.4869337,86.9246005
Ballia,9,Uttar Pradesh,104271,10798,80964,872,868,86.62,16114,780,895,571,25.7584381,84.1487319
Bally,19,West Bengal,291972,31859,216902,863,1185,83.39,36100,814,982,628,22.6500518,88.3423199
Bally City,19,West Bengal,115715,9584,95665,930,964,90.14,12354,856,923,633,22.6500518,88.3423199
Balurghat,19,West Bengal,151183,9391,130230,998,974,91.85,23732,945,945,632,25.2372834,88.7830612
Banda,9,Uttar Pradesh,154388,17697,113857,878,893,83.3,24015,755,862,578,25.4796224,80.3380213
Bankura,19,West Bengal,138036,10760,111073,951,956,87.27,19082,842,886,548,23.2324146,87.0786044
Bansberia,19,West Bengal,103799,8721,81514,929,930,85.73,8566,824,887,627,22.951904,88.4070629
Banswara,8,Rajasthan,100128,12244,76438,954,855,86.98,13852,846,873,767,23.5461394,74.4349761
Baran,8,Rajasthan,118157,14845,83879,926,893,81.19,11553,739,795,569,25.1011438,76.5131637
Baranagar,19,West Bengal,248466,15016,215849,935,947,92.46,49711,887,950,758,22.6383016,88.3654386
Barasat,19,West Bengal,283443,21468,236881,972,964,90.42,45516,915,940,676,22.7228159,88.480552
Baraut,9,Uttar Pradesh,102733,13536,69559,884,832,77.98,12672,743,832,762,29.0998902,77.2606149
Barddhaman,19,West Bengal,314638,22104,260564,959,940,89.07,52387,887,923,620,23.2324214,87.8614793
Bareilly,9,Uttar Pradesh,898167,94915,563619,881,890,70.17,110691,781,887,812,28.3670355,79.4304381
Baripada Town,21,Orissa,110058,9933,89421,931,900,89.31,17589,847,908,605,21.9322338,86.7516942
Barnala,3,Punjab,116454,12984,82347,869,830,79.59,12665,786,899,1038,30.3819446,75.5467979
Barrackpur,19,West Bengal,154475,10671,128459,943,922,89.33,29910,884,936,707,22.7674278,88.3883455
Barshi,27,Maharashtra,118573,13029,91260,948,845,86.47,13351,826,859,558,18.2333856,75.6941478
Basirhat,19,West Bengal,127135,10719,102737,974,947,88.25,20037,905,927,658,22.6574017,88.8671766
Basti,9,Uttar Pradesh,114651,12568,87065,907,921,85.29,20183,796,879,672,26.8176796,82.7633133
Batala,3,Punjab,156400,14698,121138,897,831,85.49,16436,832,921,1024,31.8183238,75.2070644
Bathinda,3,Punjab,285813,30713,211318,883,865,82.84,43428,777,878,932,30.210994,74.9454745
Beawar,8,Rajasthan,145809,17709,110111,946,880,85.96,13767,798,836,667,26.1007337,74.3190747
Begusarai,10,Bihar,251136,37966,169161,875,897,79.35,24616,753,865,492,25.416675,86.1293792
Belgaum,29,Karnataka,488292,49848,396736,982,936,90.49,64200,902,914,703,15.8496953,74.4976741
Bellary,29,Karnataka,409644,49587,281768,988,957,78.26,36855,838,844,601,15.1393932,76.9214428
Bengaluru,29,Karnataka,8425970,862493,6775942,914,940,89.59,1591163,848,931,751,12.9716,77.5946
Bettiah,10,Bihar,132896,18203,94663,888,880,82.54,13438,801,901,433,26.8028048,84.5169757
Betul,23,Madhya Pradesh,103341,11005,83356,953,907,90.27,17125,876,913,726,21.9108031,77.9011842
Bhadrak,21,Orissa,107369,12251,76928,949,949,80.88,13311,847,893,625,21.0582737,86.4958396
Bhadravati,29,Karnataka,150776,14000,118446,1010,975,86.6,12406,904,892,755,13.8329901,75.7080727
Bhadreswar,19,West Bengal,101334,8981,80249,901,921,86.89,9225,803,894,606,22.8275529,88.3456516
Bhagalpur,10,Bihar,398138,53775,279469,878,916,81.16,49656,779,893,473,25.3478004,86.9824288
Bhalswa Jahangir Pur,7,Nct Of Delhi,197150,27653,130417,855,884,76.94,8348,713,838,616,28.757322,77.1544
Bharatpur,8,Rajasthan,252109,31538,181159,880,829,82.13,33411,714,805,611,27.216981,77.489515
Bharuch,24,Gujarat,168729,16106,133796,942,916,87.66,14059,866,917,712,21.7051358,72.9958748
Bhatpara,19,West Bengal,390467,32498,307362,878,925,85.86,29055,786,899,601,22.8562412,88.406454
Bhavnagar,24,Gujarat,593768,62089,455242,919,838,85.62,51875,807,869,711,21.7644725,72.1519304
