name_of_city,Food/Lodging/Luxury,Shops/Market/Services,Recreational/Sports/Art,Nature/Historic/Tourism,Public/Transport,TOTAL
Abohar,1,0,0,0,3,4
Achalpur,3,2,0,0,2,7
Adilabad,0,0,0,0,2,2
Adityapur,10,2,0,1,0,13
Adoni,1,1,0,0,2,4
Agartala,2,2,0,0,3,7
Agra,38,4,1,6,1,50
Ahmadabad,68,23,5,4,0,100
Ahmadnagar,4,1,0,0,0,5
Aizawl,1,1,0,1,1,4
Ajmer,20,1,0,2,1,24
Akbarpur,0,0,0,0,2,2
Akola,3,2,0,0,0,5
Alandur,65,18,7,10,0,100
Alappuzha,33,0,1,4,2,40
Aligarh,4,1,0,0,0,5
Allahabad,10,5,0,1,4,20
Alwar,4,1,0,0,0,5
Ambala,8,0,0,0,0,8
Ambala Sadar,7,0,0,0,0,7
Ambarnath,43,11,5,4,3,66
Ambattur,64,20,6,10,0,100
Ambikapur,0,2,0,0,2,4
Ambur,6,0,0,1,0,7
Amravati,3,1,1,0,2,7
Amreli,4,1,0,0,0,5
Amritsar,34,7,0,5,1,47
Amroha,4,0,0,0,0,4
Anand,11,8,2,0,0,21
Anantapur,1,1,3,1,1,7
Anantnag,1,1,0,2,1,5
Arrah,3,2,0,0,3,8
Asansol,1,1,0,0,2,4
Ashoknagar Kalyangarh,1,1,0,0,3,5
Aurangabad,14,6,0,5,1,26
Avadi,75,17,6,2,0,100
Azamgarh,0,1,0,0,4,5
Badlapur,31,8,4,4,4,51
Bagaha,0,2,0,0,1,3
Bagalkot,0,2,0,0,3,5
Bahadurgarh,27,9,1,0,0,37
Baharampur,4,1,0,2,0,7
Bahraich,1,0,0,0,1,2
Baidyabati,3,1,0,1,1,6
Baleshwar Town,2,0,0,1,2,5
Ballia,0,1,0,0,1,2
Bally,60,22,2,3,4,91
Bally City,60,22,2,3,4,91
Balurghat,0,1,0,1,2,4
Banda,0,0,0,0,0,0
Bankura,1,0,0,0,2,3
Bansberia,1,1,0,1,3,6
Banswara,0,3,0,0,0,3
Baran,0,1,0,1,0,2
Baranagar,60,22,2,3,4,91
Barasat,60,19,3,4,4,90
Baraut,11,0,0,0,0,11
Barddhaman,0,2,0,0,2,4
Bareilly,0,3,0,0,1,4
Baripada Town,0,0,0,0,2,2
Barnala,1,1,0,0,5,7
Barrackpur,30,8,1,1,6,46
Barshi,1,3,0,0,0,4
Basirhat,0,0,0,1,6,7
Basti,0,1,0,0,4,5
Batala,3,1,1,0,2,7
Bathinda,5,4,0,0,0,9
Beawar,3,1,0,1,2,7
Begusarai,0,0,0,0,3,3
Belgaum,14,6,1,0,1,22
Bellary,3,0,0,1,1,5
Bengaluru,54,36,7,3,0,100
Bettiah,0,3,0,0,2,5
Betul,3,0,0,0,1,4
Bhadrak,0,0,0,0,8,8
Bhadravati,5,0,1,0,1,7
Bhadreswar,2,0,0,1,1,4
Bhagalpur,1,3,0,0,0,4
Bhalswa Jahangir Pur,75,18,6,1,0,100
Bharatpur,2,0,0,1,2,5
Bharuch,6,1,1,0,1,9
Bhatpara,2,0,0,1,2,5
Bhavnagar,6,2,0,1,0,9
Bhilai Nagar,4,0,1,0,0,5
Bhilwara,3,1,0,0,1,5
Bhimavaram,3,2,0,0,2,7
Bhind,0,0,0,0,4,4
Bhiwadi,8,1,1,1,0,11
Bhiwandi,61,28,7,3,1,100
Bhiwani,0,1,0,0,3,4
Bhopal,30,12,0,1,4,47
Bhubaneswar Town,33,18,2,4,2,59
Bhuj,4,1,0,1,2,8
Bhusawal,2,1,0,0,5,8
Bid,1,2,0,0,0,3
Bidar,2,0,1,2,2,7
